Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,FC Bayern München,25,17,4,4,73,26,+47,55
2,Borussia Dortmund,25,15,6,4,68,33,+35,51
3,RB Leipzig,25,14,8,3,62,26,+36,50
4,Borussia Mönchengladbach,25,15,4,6,49,30,+19,49
5,Bayer 04 Leverkusen,25,14,5,6,45,30,+15,47
6,FC Schalke 04,25,9,10,6,33,36,-3,37
7,VfL Wolfsburg,25,9,9,7,34,30,+4,36
8,SC Freiburg,25,10,6,9,34,35,-1,36
9,TSG 1899 Hoffenheim,25,10,5,10,35,43,-8,35
10,1. FC Köln,25,10,2,13,39,45,-6,32
11,1. FC Union Berlin,25,9,3,13,32,41,-9,30
12,Eintracht Frankfurt,24,8,4,12,38,41,-3,28
13,Hertha BSC,25,7,7,11,32,48,-16,28
14,FC Augsburg,25,7,6,12,36,52,-16,27
15,1. FSV Mainz 05,25,8,2,15,34,53,-19,26
16,Fortuna Düsseldorf,25,5,7,13,27,50,-23,22
17,SV Werder Bremen,24,4,6,14,27,55,-28,18
18,SC Paderborn 07,25,4,4,17,30,54,-24,16